task_id,department,section_id,section_code,from_station_code,from_station_name,to_station_code,to_station_name,defect_type,defect_severity,days_overdue,reported_at,urgency_score,status,section_criticality_score
31,ENGINEERING,20825,SLKN_SNP,SLKN,SANDAL KALAN,SNP,SONIPAT,Rail wear (flange/gauge),5,34,2026-07-28 13:50:14.288111,,PENDING,0.4526
32,ENGINEERING,19382,DAL_LC,DAL,DALIGANJ JN,LC,LUCKNOW CITY,Weld defect,3,31,2026-07-31 16:51:14.288111,,PENDING,0.3038
33,SIGNAL_TELECOM,11182,POK_RDRA,POK,POKARAN,RDRA,RAMDEVRA,Cable/communication fault,4,11,2026-08-20 21:27:14.288111,,PENDING,0.2616
34,TRACTION_DISTRIBUTION,15302,DURG_BQR,DURG,DURG,BQR,BHILAINAGAR,Pantograph interaction issue,4,0,2026-08-31 11:39:14.288111,,PENDING,0.5233
35,SIGNAL_TELECOM,26756,TP_TPJ,TP,TIRUCHIRAPPA,TPJ,TIRUCHIRAPPA,Signal aspect failure,3,6,2026-08-25 21:28:14.288111,,PENDING,0.2616
36,TRACTION_DISTRIBUTION,10599,YG_TGDE,YG,YADGIR,TGDE,THANGUNDI,Insulator flashover/damage,3,17,2026-08-14 09:59:14.288111,,PENDING,0.1308
37,SIGNAL_TELECOM,11233,MB_HW,MB,MORADABAD JN,HW,HARIDWAR JN,Signal aspect failure,1,30,2026-08-01 16:17:14.288111,,PENDING,0.2074
38,TRACTION_DISTRIBUTION,6196,DWX_BLAX,DWX,DEWAS,BLAX,BARLAI,Insulator flashover/damage,5,0,2026-08-31 12:23:14.288111,,PENDING,0.3038
39,SIGNAL_TELECOM,13026,GNT_PGRL,GNT,GUNTUR JN.,PGRL,PIDUGURALLA,Track circuit failure,5,6,2026-08-26 00:24:14.288111,,PENDING,0.2074
40,TRACTION_DISTRIBUTION,873,RNV_DQN,RNV,RANIWARA,DQN,DHANERA,Traction substation fault,3,29,2026-08-03 01:31:14.288111,,PENDING,0.3038
41,SIGNAL_TELECOM,5695,FZR_FDK,FZR,FIROZPUR CANTT JN.,FDK,FARIDKOT,Level crossing gate fault,4,40,2026-07-22 12:38:14.288111,,PENDING,0.4147
42,TRACTION_DISTRIBUTION,21364,KIN_COR,KIN,KAPASAN,COR,CHITTAURGARH,Feeder/circuit breaker fault,2,13,2026-08-19 02:48:14.288111,,PENDING,0.3673
43,SIGNAL_TELECOM,6708,KLGN_RASP,KLGN,KALANGANI,RASP,RASIPURAM,Interlocking fault,4,53,2026-07-09 22:04:14.288111,,PENDING,0.2074
44,SIGNAL_TELECOM,27764,SIR_GVG,SIR,SIRHIND JN.,GVG,MANDI GOBIND,Signal aspect failure,3,0,2026-08-31 15:15:14.288111,,PENDING,0.4147
45,ENGINEERING,5976,SKIP_BRMA,SKIP,SHIKARIPARA,BRMA,BARMASIA,Weld defect,4,13,2026-08-18 09:51:14.288111,,PENDING,0.1308
46,TRACTION_DISTRIBUTION,19497,DKC_KTKA,DKC,DEVARKADRE,KTKA,KOTAKADRA HA,Pantograph interaction issue,5,12,2026-08-19 18:45:14.288111,,PENDING,0.3038
47,TRACTION_DISTRIBUTION,8297,BSBR_MRR,BSBR,BANSHLAI BRI,MRR,MURARAI,Feeder/circuit breaker fault,4,10,2026-08-21 15:32:14.288111,,PENDING,0.4526
48,SIGNAL_TELECOM,18144,CHJ_KSV,CHJ,CHATA,KSV,KOSI KALAN,Level crossing gate fault,3,28,2026-08-03 16:48:14.288111,,PENDING,0.4526
49,SIGNAL_TELECOM,25015,DHK_BLN,DHK,DHAKURIA,BLN,BALLYGUNGE J,Point machine malfunction,4,5,2026-08-27 00:11:14.288111,,PENDING,0.8872
50,SIGNAL_TELECOM,18283,JRL_CKD,JRL,JHARLI,CKD,CHARKHI DADR,Track circuit failure,3,15,2026-08-17 06:24:14.288111,,PENDING,0.3038
51,SIGNAL_TELECOM,19657,DSO_PAE,DSO,DESHNOKE,PAE,PALANA,Interlocking fault,4,0,2026-08-31 15:45:14.288111,,PENDING,0.2074
52,SIGNAL_TELECOM,15963,ADL_SEL,ADL,ANDUL,SEL,SANKRAIL,Point machine malfunction,3,19,2026-08-12 12:13:14.288111,,PENDING,0.7529
53,ENGINEERING,24808,BO_DOW,BO,BORSAD,DOW,DAVOL,Rail wear (flange/gauge),4,12,2026-08-19 12:31:14.288111,,PENDING,0.2074
54,SIGNAL_TELECOM,21378,MLV_TPF,MLV,MALLARPUR,TPF,TARAPITH ROA,Signal aspect failure,3,2,2026-08-30 03:19:14.288111,,PENDING,0.469
55,TRACTION_DISTRIBUTION,18122,SDBH_SNMY,SDBH,SINDRI B.H,SNMY,SINDRI MARSH,Feeder/circuit breaker fault,4,1,2026-08-30 08:30:14.288111,,PENDING,0.2616
56,SIGNAL_TELECOM,11320,BBA_BHKL,BBA,BABRALA,BHKL,BHAKRAULI,Track circuit failure,4,11,2026-08-20 08:21:14.288111,,PENDING,0.2616
57,ENGINEERING,9933,ANND_VDA,ANND,ANAND JN.,VDA,VASAD JN.,Ballast degradation,3,3,2026-08-29 07:04:14.288111,,PENDING,0.3038
58,TRACTION_DISTRIBUTION,21131,GHH_STKW,GHH,GARHI HARSAR,STKW,SULTANPUR KA,Feeder/circuit breaker fault,4,50,2026-07-12 12:54:14.288111,,PENDING,0.3673
59,SIGNAL_TELECOM,4865,GAQ_CDMR,GAQ,GANJ  KHWAJA,CDMR,CHANDAULI MA,Level crossing gate fault,2,20,2026-08-11 15:06:14.288111,,PENDING,0.3038
60,SIGNAL_TELECOM,20549,BTPD_BDCR,BTPD,BETHAMPURDI,BDCR,BHADRACHALAM,Cable/communication fault,2,2,2026-08-30 04:53:14.288111,,PENDING,0.3673
61,SIGNAL_TELECOM,21296,AME_TLKH,AME,AMETHI,TLKH,TALAKHAJURI,Interlocking fault,4,27,2026-08-04 09:42:14.288111,,PENDING,0.3382
62,TRACTION_DISTRIBUTION,2447,BNGY_BV,BNGY,BABHANJYOTIY,BV,BABHNAN,Feeder/circuit breaker fault,2,7,2026-08-24 09:46:14.288111,,PENDING,0.1308
63,SIGNAL_TELECOM,22039,DGR_UDL,DGR,DURGAPUR,UDL,ANDAL JN.,Point machine malfunction,1,10,2026-08-22 04:44:14.288111,,PENDING,0.3925
64,SIGNAL_TELECOM,3214,KBP_ETUE,KBP,KUBERPUR,ETUE,ETMADPUR,Track circuit failure,1,11,2026-08-21 02:25:14.288111,,PENDING,0.2616
65,SIGNAL_TELECOM,24832,BVC_SGD,BVC,BHAVNAGAR TE,SGD,SONGADH,Interlocking fault,3,3,2026-08-28 22:55:14.288111,,PENDING,0.1308
66,TRACTION_DISTRIBUTION,21515,STPD_MJF,STPD,SITAFALMANDI,MJF,MALKAJGIRI,Traction substation fault,1,17,2026-08-14 12:24:14.288111,,PENDING,0.3382
67,ENGINEERING,6807,KRMA_MZC,KRMA,KARAMTOLLA,MZC,MIRZA-CHEUKI,Weld defect,5,9,2026-08-22 11:40:14.288111,,PENDING,0.3673
68,TRACTION_DISTRIBUTION,5800,KLE_KIY,KLE,KAITHAL,KIY,KALAYAT,OHE wire wear/breakage,3,11,2026-08-20 20:03:14.288111,,PENDING,0.1308
69,TRACTION_DISTRIBUTION,22086,SAU_CE,SAU,SANAND,CE,CHHARODI,Mast/structure damage,1,7,2026-08-25 05:09:14.288111,,PENDING,0.3038
70,SIGNAL_TELECOM,25267,LDK_BVW,LDK,LADHUKA,BVW,BAHMNIWALA,Interlocking fault,3,10,2026-08-21 12:13:14.288111,,PENDING,0.3382
71,TRACTION_DISTRIBUTION,25696,RE_KORI,RE,REWARI JN.,KORI,KHORI,Mast/structure damage,1,26,2026-08-05 09:44:14.288111,,PENDING,0.2616
72,SIGNAL_TELECOM,10091,RAIR_ANGL,RAIR,RAIRAKHOL,ANGL,ANGUL,Cable/communication fault,4,49,2026-07-14 03:28:14.288111,,PENDING,0.2616
73,SIGNAL_TELECOM,5874,PKBS_FL,PKBS,PEEPLEE - KA,FL,PHULERA JN.,Track circuit failure,2,25,2026-08-06 14:31:14.288111,,PENDING,0.2616
74,ENGINEERING,2347,WFD_JTJ,WFD,WHITE FIELD,JTJ,JOLARPETTAI,Track geometry deviation (twist/alignment),4,29,2026-08-02 09:12:14.288111,,PENDING,0.1308
75,ENGINEERING,26117,TDPR_SY,TDPR,TIRUPPADIRIP,SY,SIRKAZHI,Fastening/clip failure,4,2,2026-08-30 07:02:14.288111,,PENDING,0.1308
76,ENGINEERING,13656,JAM_HAPA,JAM,JAMNAGAR,HAPA,HAPA,Rail wear (flange/gauge),3,7,2026-08-24 17:37:14.288111,,PENDING,0.6289
77,ENGINEERING,10643,VKB_SC,VKB,VIKRABAD JN.,SC,SECUNDERABAD,Track geometry deviation (twist/alignment),3,8,2026-08-23 18:24:14.288111,,PENDING,0.2074
78,TRACTION_DISTRIBUTION,4607,SOM_KLA,SOM,SOMNA,KLA,KULWA,Traction substation fault,4,1,2026-08-30 22:09:14.288111,,PENDING,0.3925
79,TRACTION_DISTRIBUTION,3427,GTLM_GRBL,GTLM,GOTLAM,GRBL,GARUDABILLI,Traction substation fault,3,6,2026-08-26 01:07:14.288111,,PENDING,0.3038
80,SIGNAL_TELECOM,27525,JER_KGP,JER,JALESWAR,KGP,KHARAGPUR,Cable/communication fault,3,14,2026-08-17 20:00:14.288111,,PENDING,0.4526
81,SIGNAL_TELECOM,12805,JTP_VVD,JTP,JETPUR,VVD,VAVDI,Track circuit failure,1,9,2026-08-22 10:34:14.288111,,PENDING,0.2074
82,TRACTION_DISTRIBUTION,910,PDT_SCM,PDT,PENDURTI,SCM,SIMHACHALAM,Pantograph interaction issue,4,4,2026-08-27 17:24:14.288111,,PENDING,0.1308
83,TRACTION_DISTRIBUTION,13168,LAL_BDDR,LAL,LUSHALA,BDDR,BADODAR,Traction substation fault,4,3,2026-08-28 16:55:14.288111,,PENDING,0.3038
84,ENGINEERING,13460,LKR_KIUL,LKR,LUCKEESARAI,KIUL,KIUL JN.,Weld defect,4,3,2026-08-28 22:29:14.288111,,PENDING,0.6815
85,SIGNAL_TELECOM,4883,CNDM_KLK,CNDM,CHANDI MANDI,KLK,KALKA,Signal aspect failure,2,32,2026-07-30 12:06:14.288111,,PENDING,0.3382
86,SIGNAL_TELECOM,8115,MGT_UTN,MGT,MAGRAHAT,UTN,UTTAR RADHAN,Point machine malfunction,2,7,2026-08-25 01:03:14.288111,,PENDING,0.6289
87,SIGNAL_TELECOM,27841,MYA_S,MYA,MANDYA,S,SRIRANGAPATT,Level crossing gate fault,5,3,2026-08-28 20:18:14.288111,,PENDING,0.1308
88,SIGNAL_TELECOM,1697,KUH_RTM,KUH,KHACHROD,RTM,RATLAM JN,Signal aspect failure,5,19,2026-08-12 23:10:14.288111,,PENDING,0.469
89,TRACTION_DISTRIBUTION,16321,GOY_PNK,GOY,GOVINDPURI,PNK,PANKI,Mast/structure damage,4,26,2026-08-05 23:57:14.288111,,PENDING,0.3382
90,TRACTION_DISTRIBUTION,8515,PPS_BRL,PPS,PIPLIYA ROAD,BRL,BARWALAROAD,Insulator flashover/damage,3,3,2026-08-29 04:36:14.288111,,PENDING,0.1308
91,ENGINEERING,24624,MAF_TO,MAF,MANAVUR,TO,TIRUVALANGAD,Track geometry deviation (twist/alignment),3,19,2026-08-13 05:02:14.288111,,PENDING,0.6075
92,TRACTION_DISTRIBUTION,18786,NHK_DJG,NHK,NAHARKATIYA,DJG,DULIAJAN,Insulator flashover/damage,4,14,2026-08-17 11:01:14.288111,,PENDING,0.3382
93,SIGNAL_TELECOM,18714,TLD_BKTH,TLD,TILDA,BKTH,BAIKUNTH,Level crossing gate fault,4,8,2026-08-23 22:11:14.288111,,PENDING,0.3382
94,SIGNAL_TELECOM,9492,CKKD_SGBJ,CKKD,CHARKEDA KHU,SGBJ,SURGAON BANJ,Signal aspect failure,2,9,2026-08-22 15:49:14.288111,,PENDING,0.2074
95,TRACTION_DISTRIBUTION,4753,MWC_TKJ,MWC,MANDAWALI CH,TKJ,TILAK BRIDGE,Insulator flashover/damage,4,18,2026-08-13 10:33:14.288111,,PENDING,0.4981
96,SIGNAL_TELECOM,27208,BJF_SBE,BJF,BIJNI,SBE,SORBHOG,Cable/communication fault,3,4,2026-08-27 17:52:14.288111,,PENDING,0.2074
97,SIGNAL_TELECOM,11928,HRO_KMZA,HRO,HARUA ROAD,KMZA,KANKRA MIRZA,Interlocking fault,4,21,2026-08-11 03:20:14.288111,,PENDING,0.5918
98,ENGINEERING,13061,SPQ_PBL,SPQ,SORUPETA,PBL,PATHSHALA,Rail fracture,1,44,2026-07-18 08:10:14.288111,,PENDING,0.3673
99,SIGNAL_TELECOM,6637,WRR_WR,WRR,WARORA,WR,WARDHA JN.,Interlocking fault,2,10,2026-08-22 04:47:14.288111,,PENDING,0.1308
100,SIGNAL_TELECOM,22515,BZA_NLR,BZA,VIJAYWADA JN,NLR,NELLORE,Signal aspect failure,5,16,2026-08-15 22:12:14.288111,,PENDING,0.4346
101,SIGNAL_TELECOM,2317,TRL_PTLR,TRL,TIRUVALLUR,PTLR,PUTTLUR,Cable/communication fault,4,24,2026-08-07 21:13:14.288111,,PENDING,0.779
102,ENGINEERING,2975,SPP_HJP,SPP,SHAHPUR PATO,HJP,HAJIPUR JN.,Formation/subgrade issue,5,2,2026-08-29 15:04:14.288111,,PENDING,0.2074
103,TRACTION_DISTRIBUTION,9769,NPS_BLSR,NPS,NAPASAR,BLSR,BELASAR  HAL,Insulator flashover/damage,2,6,2026-08-25 23:20:14.288111,,PENDING,0.3038
104,TRACTION_DISTRIBUTION,15572,SGO_DMO,SGO,SAUGOR,DMO,DAMOH,Feeder/circuit breaker fault,4,29,2026-08-03 02:22:14.288111,,PENDING,0.5918
105,TRACTION_DISTRIBUTION,18046,NRX_GKH,NRX,NOADAR DHAL,GKH,GUSKARA,Feeder/circuit breaker fault,2,65,2026-06-27 13:17:14.288111,,PENDING,0.4526
106,ENGINEERING,22980,LT_AV,LT,LAHAVIT,AV,ASVALI,Track geometry deviation (twist/alignment),4,9,2026-08-22 12:42:14.288111,,PENDING,0.2074
107,TRACTION_DISTRIBUTION,14128,BRZ_JHL,BRZ,BARETA,JHL,JAKHAL JN.,Mast/structure damage,5,13,2026-08-19 00:03:14.288111,,PENDING,0.2616
108,TRACTION_DISTRIBUTION,3177,URK_MDH,URK,URKURA,MDH,MANDHAR,Traction substation fault,3,12,2026-08-20 05:57:14.288111,,PENDING,0.3925
109,SIGNAL_TELECOM,18198,CRLM_HSRA,CRLM,CARMELARAM,HSRA,HOSUR,Point machine malfunction,4,23,2026-08-08 08:46:14.288111,,PENDING,0.2616
110,TRACTION_DISTRIBUTION,8481,CDG_UMB,CDG,CHANDIGARH,UMB,AMBALA CANTT JN,Traction substation fault,5,10,2026-08-22 05:24:14.288111,,PENDING,0.5998
111,ENGINEERING,8398,GAW_JKNI,GAW,GAINJAHWA,JKNI,JHARKHANDI F,Weld defect,1,30,2026-08-02 05:53:14.288111,,PENDING,0.3038
112,TRACTION_DISTRIBUTION,27505,JNA_JJT,JNA,JULANA,JJT,JAI JAI WANT,Feeder/circuit breaker fault,3,25,2026-08-06 08:43:14.288111,,PENDING,0.3925
113,TRACTION_DISTRIBUTION,27646,DRH_JMP,DRH,DHARHARA,JMP,JAMALPUR JN.,Feeder/circuit breaker fault,4,12,2026-08-20 05:49:14.288111,,PENDING,0.3382
114,SIGNAL_TELECOM,25687,ASK_TTR,ASK,ARSIKERE JN.,TTR,TIPTUR,Level crossing gate fault,2,12,2026-08-20 00:36:14.288111,,PENDING,0.5557
115,SIGNAL_TELECOM,26514,TATA_ASB,TATA,TATANAGAR JN,ASB,ASANBONI,Cable/communication fault,3,26,2026-08-05 09:39:14.288111,,PENDING,0.2616
116,ENGINEERING,10282,JAT_BLA,JAT,JAMMU TAWI,BLA,BAJALTA,Track geometry deviation (twist/alignment),3,12,2026-08-19 20:13:14.288111,,PENDING,0.3038
117,ENGINEERING,26678,BRYA_KIUL,BRYA,BARHIYA,KIUL,KIUL JN.,Weld defect,3,19,2026-08-13 03:01:14.288111,,PENDING,0.3038
118,ENGINEERING,6485,KJM_HDIH,KJM,KRISHNA RAJA,HDIH,HOODI,Ballast degradation,2,22,2026-08-10 06:54:14.288111,,PENDING,0.4981
119,SIGNAL_TELECOM,23312,PHD_BNT,PHD,PHAPHUND,BNT,BHARTHANA,Cable/communication fault,5,0,2026-08-31 21:24:14.288111,,PENDING,0.3673
120,ENGINEERING,2143,DCU_PCL,DCU,DAMALACHERUV,PCL,PULICHERLA,Track geometry deviation (twist/alignment),3,6,2026-08-25 09:00:14.288111,,PENDING,0.1308
121,ENGINEERING,12409,CTA_RRB,CTA,CHITRADURG,RRB,BIRUR JN.,Ballast degradation,4,5,2026-08-27 03:01:14.288111,,PENDING,0.1308
122,TRACTION_DISTRIBUTION,12042,JNH_BOY,JNH,JANGHAI JN.,BOY,BHADOHI,OHE wire wear/breakage,4,11,2026-08-20 09:02:14.288111,,PENDING,0.4346
123,ENGINEERING,23569,ABP_GGJ,ABP,AKBARPUR JN.,GGJ,GOSHAINGANJ,Formation/subgrade issue,3,8,2026-08-23 16:24:14.288111,,PENDING,0.469
124,SIGNAL_TELECOM,8916,AST_PWL,AST,ASAOTI,PWL,PALWAL,Track circuit failure,3,4,2026-08-27 19:14:14.288111,,PENDING,0.5998
125,SIGNAL_TELECOM,25673,BQQ_REI,BQQ,BAKHLETA,REI,RITHI,Track circuit failure,4,18,2026-08-13 10:47:14.288111,,PENDING,0.2616
126,ENGINEERING,15349,BGM_DWR,BGM,BELGAUM,DWR,DHARWAD,Rail fracture,4,1,2026-08-30 11:08:14.288111,,PENDING,0.3382
127,TRACTION_DISTRIBUTION,12643,RDM_MCI,RDM,RAMGUNDAM,MCI,MANCHIRYAL,Mast/structure damage,1,24,2026-08-07 15:53:14.288111,,PENDING,0.5834
128,ENGINEERING,4887,BBW_PPC,BBW,BODARWAR,PPC,PIPRAICH,Rail wear (flange/gauge),1,23,2026-08-08 10:37:14.288111,,PENDING,0.2616
129,SIGNAL_TELECOM,10474,PPR_RKB,PPR,PIPAR ROAD J,RKB,RAIKA BAGH P,Interlocking fault,1,1,2026-08-31 01:37:14.288111,,PENDING,0.1308
130,TRACTION_DISTRIBUTION,6767,VZM_VBL,VZM,VIZIANAGARAM,VBL,BOBBILI JN.,Insulator flashover/damage,4,5,2026-08-26 18:40:14.288111,,PENDING,0.4841
131,SIGNAL_TELECOM,7078,TETA_SUD,TETA,TELTA,SUD,SUDHANI,Cable/communication fault,2,12,2026-08-19 21:49:14.288111,,PENDING,0.3382
132,SIGNAL_TELECOM,9745,SEO_MB,SEO,SEOHARA,MB,MORADABAD JN,Point machine malfunction,2,14,2026-08-17 21:59:14.288111,,PENDING,0.2074
133,SIGNAL_TELECOM,8157,DMM_ATP,DMM,DHARMAVARAM,ATP,ANANTAPUR,Track circuit failure,3,2,2026-08-29 23:47:14.288111,,PENDING,0.6915
134,TRACTION_DISTRIBUTION,19295,KIRP_PPGT,KIRP,KHIDIRPUR,PPGT,PRINCEP GHAT,Insulator flashover/damage,1,1,2026-08-30 08:18:14.288111,,PENDING,0.4981
135,ENGINEERING,4130,MR_SDB,MR,MARTUR,SDB,SHAHABAD,Track geometry deviation (twist/alignment),3,9,2026-08-23 03:58:14.288111,,PENDING,0.3673
136,ENGINEERING,25503,AUBR_JHN,AUBR,ANUGRAH NARA,JHN,JAKHIM,Track geometry deviation (twist/alignment),2,19,2026-08-12 13:11:14.288111,,PENDING,0.2074
137,TRACTION_DISTRIBUTION,4615,KGBS_RE,KGBS,KISHANGARH B,RE,REWARI JN.,Insulator flashover/damage,2,12,2026-08-19 19:20:14.288111,,PENDING,0.4147
138,TRACTION_DISTRIBUTION,15861,ZN_PBP,ZN,JANGAON,PBP,PEMBARTI,Mast/structure damage,5,26,2026-08-05 15:59:14.288111,,PENDING,0.3382
139,ENGINEERING,23456,MAR_KPN,MAR,MULANUR,KPN,KUPPAM,Rail fracture,3,20,2026-08-11 09:53:14.288111,,PENDING,0.2074
140,ENGINEERING,8255,NRW_DHY,NRW,NARWANA JN.,DHY,DHARODI,Fastening/clip failure,3,13,2026-08-18 16:12:14.288111,,PENDING,0.3038
141,ENGINEERING,24040,ACOI_SRJ,ACOI,CHHEOKI,SRJ,SHANKARGARH,Weld defect,1,10,2026-08-21 22:44:14.288111,,PENDING,0.3673
142,ENGINEERING,12710,MWM_YPR,MWM,MALLESWARAM,YPR,YESVANTPUR J,Weld defect,2,1,2026-08-31 07:00:14.288111,,PENDING,0.4981
143,ENGINEERING,20495,PATM_JMP,PATM,PATAM,JMP,JAMALPUR JN.,Weld defect,3,18,2026-08-14 07:00:14.288111,,PENDING,0.3038
144,TRACTION_DISTRIBUTION,15192,BHK_SWRT,BHK,BADHARI KALA,SWRT,SAHAWAR TOWN,OHE wire wear/breakage,3,2,2026-08-30 01:39:14.288111,,PENDING,0.2616
145,TRACTION_DISTRIBUTION,135,BBJ_NPR,BBJ,BABAGANJ HAL,NPR,NEPALGANJ ROAD,Insulator flashover/damage,2,16,2026-08-16 00:27:14.288111,,PENDING,0.2616
146,ENGINEERING,12518,NBPH_SGV,NBPH,NEW BALRAMPU,SGV,SARGACHNI,Fastening/clip failure,4,5,2026-08-26 16:03:14.288111,,PENDING,0.3925
147,SIGNAL_TELECOM,14872,PAY_CHV,PAY,PAYYANUR,CHV,CHERVATTUR,Track circuit failure,4,22,2026-08-09 20:47:14.288111,,PENDING,0.3673
148,TRACTION_DISTRIBUTION,18412,DTR_SNKX,DTR,DHAMTARI,SNKX,SANKRA   HAL,Pantograph interaction issue,3,27,2026-08-04 22:14:14.288111,,PENDING,0.2616
149,SIGNAL_TELECOM,9534,BRND_BJRI,BRND,BORIDAND,BJRI,BIJURI,Level crossing gate fault,1,3,2026-08-29 00:31:14.288111,,PENDING,0.4346
150,ENGINEERING,21632,LLJ_NHF,LLJ,LALGANJ,NHF,NIHASTA HALT,Weld defect,3,42,2026-07-20 09:46:14.288111,,PENDING,0.3382
